;UF;V0222;V0221;V0228;V4622;V4623;V2103;V2105;V2107;V2109;V2113;V2128
136602;50;4.0;3.0;6.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;4.0
136604;50;4.0;3.0;6.0;4.0;1.0;3.0;3.0;3.0;3.0;;
136801;50;4.0;3.0;4.0;4.0;1.0;3.0;3.0;3.0;3.0;;
136980;50;4.0;3.0;6.0;3.0;7.0;3.0;3.0;1.0;3.0;1.0;
137030;50;4.0;3.0;4.0;3.0;6.0;3.0;3.0;3.0;3.0;;
137084;50;4.0;3.0;6.0;0.0;6.0;3.0;3.0;3.0;3.0;;
137127;50;4.0;3.0;4.0;6.0;6.0;3.0;3.0;3.0;3.0;;
137153;50;4.0;3.0;6.0;4.0;7.0;3.0;3.0;1.0;3.0;3.0;
137318;50;4.0;3.0;6.0;3.0;9.0;1.0;1.0;1.0;1.0;1.0;
137478;50;4.0;3.0;6.0;5.0;6.0;3.0;3.0;3.0;3.0;;
137591;50;4.0;3.0;6.0;7.0;6.0;3.0;3.0;3.0;3.0;;
137842;50;4.0;3.0;6.0;3.0;6.0;3.0;3.0;3.0;3.0;;
138196;50;2.0;3.0;6.0;2.0;2.0;1.0;3.0;1.0;3.0;3.0;4.0
138572;50;4.0;3.0;2.0;4.0;6.0;3.0;3.0;3.0;3.0;;
138699;50;4.0;3.0;6.0;4.0;9.0;1.0;1.0;1.0;1.0;1.0;
138856;50;4.0;3.0;6.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;4.0
138865;50;4.0;3.0;6.0;4.0;1.0;3.0;3.0;3.0;3.0;;
138993;50;4.0;3.0;6.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;2.0
139016;50;4.0;3.0;6.0;4.0;6.0;3.0;3.0;3.0;3.0;;
139026;50;2.0;3.0;4.0;3.0;7.0;1.0;3.0;1.0;1.0;3.0;
139377;50;4.0;3.0;4.0;4.0;7.0;1.0;3.0;3.0;3.0;3.0;
